TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Maut_SID_Ri1;Maut_SID_Ri2;Anz_Fs_Ri1;Anz_Fs_Ri2;DTA_SV_Ri1;fA_SV_Ri1;qBm_SV_Ri1;B_anno_SV_Ri1;DTA_SV_Ri2;fA_SV_Ri2;qBm_SV_Ri2;B_anno_SV_Ri2;DTV_Bus_Ri1;DTV_LoA_Ri1;DTV_Lzg_Ri1;DTV_Sat_Ri1;DTV_Bus_Ri2;DTV_LoA_Ri2;DTV_Lzg_Ri2;DTV_Sat_Ri2;Anmerkungen;
2426;2218;AD HH-Südost (O);2;HH;A;1;;2;Lübeck;AS Hamburg-Südost;N;Hamburg;AD Dreieck Hamburg-Südost (A25);S;6;149,0;285;169;63;53;96.034;48.574;47.460;100.883;51.509;49.374;102.237;52.262;49.975;69.024;32.319;36.706;+4,8;+4,4;+6,9;+1,0;19.816;9.913;9.904;23.203;11.685;11.518;21.404;10.756;10.648;4.720;1.997;2.723;+7,9;+6,3;+11,3;+1,2;20,6;23,0;20,9;6,8;1,01;0,73;1,12;5.367;19,1;1.270;33,4;5.862;19,9;3.882;15,7;8.952;8.841;8.676;6.923;4.774;4.725;4.492;3.748;9,8;9,2;8,6;10,2;R I;R I;R I;R II;E;D;D;E;B;B;B;8;;C;;;D;8;18;D;9;17;C;;;C;;;D;13;;D;12;;C;15;;C;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;572.102;5.929.284;106.057;54.094;51.963;25.410;12.683;12.727;76.585;39.491;37.094;8.993;5.072;3.922;4.774;4.444;4.725;4.296;4.492;4.282;3.370;3.748;16,1;17,5;15,3;18,6;15,3;21,6;3,2;7,5;105.625;53.882;51.742;25.643;12.815;12.828;24,3;23,8;24,8;53,50754848;10,08718293;;;;;;;;;;;55.171;53.077;0,64;0,78;0,97;1,05;1,15;1,07;0,74;0,73;;;;;;;;;;;;;530;;;;2.533;1.034;3;3;;;;;;;;;;;;;;;;;;
2426;2217;AD HH-Südost (W);2;HH;A;1;;2;Hamburg;AK Kreuz Hamburg-Süd (A255);S;Lübeck;AD Dreieck Hamburg-Südost (A25);N;8;150,3;303;179;67;57;106.223;52.466;53.757;112.113;55.760;56.353;112.024;55.823;56.201;75.797;35.296;40.501;+3,5;+3,2;+5,0;+1,0;21.265;10.534;10.731;24.950;12.425;12.525;22.981;11.440;11.541;4.861;2.080;2.780;+7,2;+5,7;+9,9;+1,2;20,0;22,3;20,5;6,4;1,00;0,71;1,10;5.894;18,6;1.489;31,3;6.413;19,4;4.338;15,0;9.635;9.526;9.239;7.288;5.306;5.248;4.995;3.985;10,1;9,4;8,9;9,8;R I;R I;R I;R II;E;D;D;D;B;B;D;8;17;G;8;;D;8;18;B;8;;D;8;16;C;;;D;13;;B;12;;C;15;;B;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571.219;5.929.323;117.720;58.426;59.294;27.348;13.495;13.853;83.264;42.217;41.048;9.480;5.349;4.131;5.306;5.216;5.248;5.179;4.995;4.753;3.479;3.985;17,8;18,4;14,5;19,7;14,0;19,8;5,1;6,3;117.575;58.362;59.214;27.600;13.631;13.968;23,5;23,4;23,6;53,50801979;10,07388183;;;;;;;;;;;59.778;61.072;0,64;0,74;0,97;1,04;1,13;1,06;0,73;0,71;;;;;;;;;;;;;520;;;;;;4;4;;;;;;;;;;;;;;;;;;
2426;2223;AK HH-Süd Fbez. S-O;2;HH;A;1;;2;Lübeck;AD Dreieck Hamburg-Südost (A25);N;Hamburg;AS Hamburg-Stillhorn;S;4;153,1;266;160;55;51;71.378;36.973;34.405;72.504;37.922;34.582;76.788;40.464;36.324;59.658;28.563;31.095;+4,1;+4,0;+6,8;-0,2;15.080;7.819;7.261;17.421;9.081;8.340;16.362;8.620;7.742;4.394;1.906;2.488;+7,5;+5,6;+11,9;+2,6;21,1;24,0;21,3;7,4;1,06;0,88;1,14;3.966;19,0;991;38,2;4.316;19,4;2.915;17,3;6.734;6.391;6.631;6.187;3.597;3.443;3.555;3.280;9,7;9,1;8,8;10,5;R I;R I;R I;R II;E;D;D;E;C;D;G;8;;C;;;C;;;C;;;C;;;C;;;B;13;;F;12;;C;15;;B;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569.043;5.929.487;75.804;39.678;36.126;18.908;9.785;9.123;62.547;33.051;29.496;8.092;4.732;3.361;3.597;3.412;3.443;3.173;3.555;3.277;3.073;3.280;14,3;6,7;11,7;8,7;15,0;7,4;6,3;7,6;74.806;39.088;35.718;19.024;9.826;9.198;25,4;25,1;25,8;53,50979124;10,04111413;;;;;;;;;;;40.546;36.902;0,77;0,95;0,96;1,05;1,18;1,09;0,84;0,83;;;;;;;;;;;;;510;;;;;;2;2;;;;;;;;;;;;;;;;;;
4908;5675;AK Leverkusen (O);5;NW;A;1;;8+1;Dortmund;AS Burscheid;N;Köln;AK Kreuz Leverkusen (A3);S;6;402,2;357;221;75;61;81.147;41.462;39.685;83.463;42.989;40.474;83.478;42.534;40.944;69.586;34.415;35.171;+0,9;+0,8;+2,8;-1,9;10.759;5.558;5.201;12.936;6.682;6.254;11.302;5.808;5.494;1.944;1.043;902;+6,3;+5,6;+7,5;+5,1;13,3;15,5;13,5;2,8;1,00;0,87;1,09;4.533;11,6;1.077;27,0;4.812;12,3;3.696;8,9;7.097;7.078;6.743;6.433;4.225;4.208;3.886;3.315;10,2;9,8;9,1;9,4;R I;R I;R I;R II;F;D;D;D;B;D;D;8;18;G;8;;E;18;;B;8;;E;17;;B;8;;A;;;A;;;A;;;D;19;;85,1;7,3;0,6;0,9;2,9;10,2;7,5;0,1;0,7;82,9;7,7;0,5;0,8;3,3;12,1;8,8;0,1;0,8;84,6;7,4;0,6;1,1;3,0;10,4;7,5;0,1;0,7;95,7;5,5;1,0;1,1;0,9;1,7;1,4;0,2;0,3;364.845;5.658.635;85.917;44.217;41.700;14.159;7.307;6.852;71.020;36.063;34.957;4.238;2.178;2.060;4.225;3.850;4.208;3.850;3.886;3.332;3.286;3.315;7,2;10,2;9,6;10,2;10,5;13,1;2,0;1,5;86.260;44.506;41.754;14.442;7.462;6.980;16,7;16,8;16,7;51,06330659;7,07118583;;;;;;;;;;;46.726;43.554;0,80;0,93;0,94;1,01;1,11;1,06;0,81;0,85;;;;;;;;;;;;;260;;;;2.374;907;3;3;23.314;4,19;0,32;2.450.402;21.610;4,15;0,32;2.245.502;61;1.184;4.313;3.246;53;1.172;3.977;2.800;;
4908;5035;AK Leverkusen (W);5;NW;A;1;;8+1;Dortmund;AK Kreuz Leverkusen (A3);N;Köln;AK Kreuz Leverkusen-West (A59);S;6;403,7;353;217;75;61;101.598;50.891;50.707;107.481;53.941;53.540;103.489;51.915;51.575;77.252;38.214;39.039;+0,2;-0,1;+2,2;-2,2;13.011;6.649;6.362;15.699;8.022;7.677;13.688;6.988;6.700;2.117;1.094;1.024;+4,3;+3,6;+5,6;+4,4;12,8;14,6;13,2;2,7;0,96;0,73;1,04;5.690;11,5;1.319;23,8;6.068;12,4;4.558;8,2;9.564;9.564;8.405;7.140;5.447;5.447;4.715;3.672;10,7;10,2;9,1;9,4;R II;R II;R II;R II;E;D;D;C;B;B;D;8;17;G;8;;D;8;18;B;8;;C;;;B;8;;A;;;A;;;D;19;;D;18;;85,9;8,1;0,6;0,9;3,2;9,5;7,2;0,1;0,4;84,2;8,3;0,5;0,8;3,6;10,9;8,2;0,1;0,5;85,3;8,4;0,7;1,1;3,4;9,7;7,3;0,1;0,4;95,8;6,4;1,2;1,2;0,8;1,7;1,4;0,2;0,3;358.801;5.655.933;110.757;55.657;55.100;17.217;8.801;8.417;84.773;42.147;42.626;4.929;2.495;2.434;4.801;5.447;4.796;5.447;4.572;4.715;3.668;3.672;8,6;10,3;8,0;10,3;9,6;10,2;1,8;3,2;111.847;56.221;55.626;17.559;8.977;8.582;15,7;16,0;15,4;51,03757536;6,98603730;;;;;;;;;;;58.544;57.606;0,71;0,74;0,96;0,99;1,05;1,04;0,76;0,77;;;;;;;;;;;;;250;;;;3.829;2.388;3;3;27.465;4,13;0,32;2.858.840;25.839;4,06;0,31;2.655.862;65;1.593;4.991;3.819;66;1.683;4.613;3.457;;
4111;5121;Ascheberg;5;NW;A;1;;8+1;Münster;AK Kreuz Münster-Süd (A43);N;Dortmund;AS Ascheberg;S;4;288,5;262;155;64;43;53.665;26.953;26.713;54.488;27.471;27.016;56.506;28.687;27.819;47.052;22.853;24.199;+0,1;+0,0;+2,6;-3,1;8.910;4.296;4.614;10.594;5.137;5.458;9.426;4.598;4.828;1.972;780;1.192;+6,2;+5,5;+8,6;+1,2;16,6;19,4;16,7;4,2;1,04;0,89;1,14;3.007;14,1;695;38,3;3.236;14,4;2.320;12,9;5.005;4.949;4.753;4.616;2.675;2.580;2.463;2.584;10,0;9,5;8,9;10,7;R II;R II;R II;R II;E;D;D;D;C;D;G;9;;D;8;17;C;;;D;8;18;C;;;D;8;14;B;11;;D;14;;D;18;;D;18;;79,8;6,1;0,4;1,5;3,4;13,0;8,0;0,2;2,1;77,1;6,4;0,3;1,3;3,9;15,3;9,5;0,2;2,2;79,4;6,2;0,4;1,8;3,5;13,0;8,1;0,2;2,1;92,2;4,6;0,7;1,6;1,3;2,6;1,7;0,3;2,0;403.168;5.743.440;56.433;28.425;28.008;11.664;5.615;6.048;47.674;24.474;23.200;3.387;1.887;1.500;2.512;2.675;2.430;2.580;2.434;2.463;2.138;2.584;10,5;10,2;12,8;9,2;15,4;2,3;1,9;2,2;56.280;28.331;27.949;11.850;5.702;6.147;21,1;20,1;22,0;51,83337406;7,59466706;;;;;;;;;;;29.344;28.818;0,84;0,95;0,95;1,03;1,16;1,11;0,86;0,83;;;;;;;;;;;;;340;;;;;;2;2;17.983;4,19;0,32;2.088.592;19.255;4,17;0,31;2.202.120;59;899;3.338;2.302;63;935;3.616;1.996;Baustelle zeitweise in 2010;
2228;1101;Bad Oldesloe;1;SH;A;1;;8+1;Lübeck;AS Reinfeld;N;Hamburg;AS Bad Oldesloe;S;6;38,5;74;58;4;12;66.223;33.708;32.515;63.791;33.292;30.499;76.864;40.097;36.767;62.437;27.331;35.106;-3,8;-5,5;+3,7;-6,9;8.688;4.370;4.317;9.938;5.061;4.877;9.601;4.873;4.727;2.626;1.026;1.600;+7,5;+4,9;+13,6;+5,8;13,1;15,6;12,5;4,2;1,20;1,01;1,18;3.744;11,6;791;27,9;4.054;11,9;2.813;10,2;8.316;6.973;7.895;7.931;4.838;4.302;4.700;4.729;14,4;12,9;11,7;13,5;R I;R I;R I;R II;C;E;B;G;C;D;E;17;;G;8;;E;18;;B;8;;E;16;;C;;;F;12;;B;12;;E;12;;D;18;;85,8;6,9;0,4;1,0;3,1;9,8;7,9;0,2;0,1;83,4;7,2;0,3;0,9;3,7;11,7;9,4;0,2;0,1;86,2;7,3;0,5;1,2;3,0;9,2;7,4;0,2;0,1;94,6;5,1;0,5;1,1;0,9;2,9;2,6;0,4;0,1;594.121;5.961.309;67.724;35.204;32.520;10.799;5.428;5.371;63.005;33.576;29.430;5.032;2.905;2.127;4.838;4.729;4.302;3.366;4.700;3.698;3.773;4.729;6,9;2,5;5,7;12,4;7,1;10,1;1,2;2,5;65.306;33.932;31.374;10.819;5.446;5.373;16,6;16,0;17,1;53,79184164;10,42880292;;;;;;;;;;;35.014;32.863;0,82;1,21;0,93;1,10;1,27;1,04;0,95;0,91;;;;;;;;;;;;;570;;;;2.571;1.095;3;3;18.079;4,14;0,32;1.904.221;17.768;4,12;0,32;1.862.714;86;1.017;3.268;2.645;77;1.046;3.195;2.586;Gerätedefekt zeitweise in 2010;
2130;1108;Bad Schwartau;1;SH;A;1;;8+1;Oldenburg i.H.;AS Bad Schwartau;N;Lübeck;AS Lübeck-Zentrum;S;6;58,6;273;161;63;49;67.824;33.679;34.145;67.218;33.741;33.477;77.637;38.980;38.657;57.898;26.789;31.110;-3,7;-4,4;+0,0;-6,0;5.649;2.830;2.819;6.488;3.264;3.224;6.065;3.070;2.995;1.827;822;1.005;+3,0;+1,2;+7,1;+0,1;8,3;9,7;7,8;3,2;1,15;0,84;1,10;3.881;7,4;717;17,9;4.223;7,6;2.853;6,6;7.043;6.419;7.003;6.554;4.308;3.725;4.057;4.237;12,6;11,0;10,4;13,6;R II;R I;R I;R II;E;E;B;F;C;D;E;17;;B;8;;E;17;;B;8;;E;16;;B;8;;D;14;;B;11;;E;15;;D;18;;88,1;7,2;0,7;1,4;2,1;6,0;4,9;0,3;2,2;86,8;7,6;0,6;1,2;2,4;7,0;5,7;0,2;2,3;88,4;7,2;0,8;1,6;2,0;5,5;4,5;0,2;2,2;93,5;5,6;0,8;1,4;0,6;2,2;1,9;0,3;1,9;609.762;5.972.762;70.373;35.256;35.117;6.878;3.436;3.441;66.483;33.734;32.749;3.866;2.094;1.772;4.136;4.308;3.725;3.341;4.057;3.594;3.682;4.237;5,1;1,8;3,9;5,7;2,4;2,1;1,6;1,6;68.448;34.290;34.157;6.943;3.467;3.476;10,1;10,1;10,2;53,89167750;10,67022940;;;;;;;;;;;35.242;35.500;0,75;0,92;0,97;0,98;1,15;1,05;0,94;0,91;;;;;;;;;;;;;590;;;;2.913;1.411;3;3;11.594;4,1;0,32;1.225.495;11.431;4,05;0,32;1.195.339;90;676;2.064;1.704;80;723;2.016;1.628;;
2427;1102;Barsbüttel;1;SH;A;1;;8+1;Lübeck;AS Barsbüttel;N;Hamburg;AK Kreuz Hamburg-Ost (A24);S;7;7,5;229;136;52;41;81.598;40.835;40.763;83.350;42.254;41.097;89.650;45.210;44.440;64.610;29.772;34.838;-1,6;-1,9;+0,5;-4,1;9.655;4.715;4.939;11.323;5.563;5.760;10.316;5.072;5.244;2.264;933;1.331;+4,3;+3,2;+5,4;+0,6;11,8;13,6;11,5;3,5;1,08;0,81;1,13;4.611;10,6;978;23,7;4.993;11,1;3.463;8,2;7.885;7.748;7.583;6.630;4.742;4.686;4.212;3.570;11,6;11,4;9,3;10,2;R II;R II;R I;R II;E;C;C;F;C;D;E;18;;A;8;;E;18;;B;8;;E;17;;B;8;;D;12;;D;12;;B;12;;C;15;;83,9;8,0;0,7;1,4;3,1;8,5;6,5;0,3;2,9;82,1;8,5;0,6;1,3;3,6;9,8;7,5;0,3;3,0;83,9;8,1;0,8;1,7;3,1;8,2;6,3;0,3;2,8;92,5;5,7;0,8;1,7;0,7;2,4;2,1;0,3;2,3;578.185;5.935.581;87.425;44.112;43.313;12.325;5.980;6.345;71.809;37.114;34.695;4.706;2.704;2.001;4.591;4.742;4.535;4.686;4.212;3.962;3.400;3.570;5,8;10,1;6,8;6,2;6,0;7,7;1,4;2,4;86.452;43.647;42.805;12.483;6.060;6.423;14,4;13,9;15,0;53,56327624;10,18046539;;;;;;;;;;;45.008;43.956;0,70;0,88;0,95;1,04;1,18;1,06;0,85;0,81;;;;;;;;;;;;;560;;;;5.756;5.759;3;4;18.746;3,98;0,31;1.918.875;20.333;4,12;0,32;2.014.171;105;1.364;3.247;2.501;112;1.161;3.666;2.843;;
2821;3302;Bockel;3;NI;A;1;;8+1;Hamburg;AS Sittensen;N;Bremen;AS Bockel;S;6;72,2;56;35;11;10;54.029;27.230;26.799;53.756;27.185;26.571;55.615;28.343;27.272;52.862;25.852;27.009;-0,9;+0,0;-1,9;-2,8;11.683;5.880;5.803;13.724;6.917;6.807;12.383;6.248;6.135;2.960;1.434;1.526;-1,2;-1,8;-0,5;-6,3;21,6;25,5;22,3;5,6;1,03;1,09;1,22;2.996;18,5;762;46,1;3.208;18,7;2.359;17,9;5.604;5.312;5.072;5.448;3.028;2.790;2.604;3.001;11,3;10,5;9,5;11,1;R II;R II;R II;R II;E;C;C;E;D;D;C;;;C;;;C;;;C;;;C;;;E;17;;B;11;;D;12;;A;;;C;15;;76,8;8,6;0,2;1,3;2,6;18,8;14,6;0,2;0,2;72,9;8,9;0,2;1,3;3,0;22,3;17,3;0,2;0,2;76,0;9,2;0,2;1,5;2,7;19,4;15,0;0,2;0,2;93,2;6,9;0,3;1,2;0,8;4,4;3,7;0,3;0,1;519.223;5.894.039;55.042;27.861;27.181;14.900;7.468;7.431;50.219;25.624;24.595;5.508;2.998;2.510;2.858;3.028;2.670;2.790;2.542;2.604;2.571;3.001;5,5;2,3;3,1;3,4;11,0;8,2;2,2;2,3;54.824;27.716;27.108;15.164;7.602;7.562;27,7;27,4;27,9;53,19533776;9,28773550;;;;;;;;;;;28.572;27.182;1,00;1,13;1,00;1,06;1,20;1,25;0,97;0,98;;;;;;;;;;;;;450;;;;6.296;6.297;3;3;26.113;4,44;0,33;2.850.206;25.789;4,44;0,33;2.817.211;65;710;5.105;3.969;67;691;5.045;3.927;Baustelle zeitweise in 2010 und in 2009 / Geänderte Fahrzeugartenanalyse in 2010;
